Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters)
3.450000,0.0000002,1.000000,-2.000000
3.500000,0.0000002,1.000000,-2.000000
3.550000,0.0000002,1.000000,-2.000000
3.600000,0.0000002,1.000000,-2.000000
3.650000,0.0000002,1.000000,-2.000000
3.700000,0.0000002,1.000000,-2.000000
3.750000,0.0000002,1.000000,-2.000000
3.800000,0.0000002,1.000000,-2.000000
3.850000,0.0000002,1.000000,-2.000000
3.900000,0.0000002,1.000000,-2.000000
3.950000,0.0000002,1.000000,-2.000000
4.000000,0.0000002,1.000000,-2.000000
4.050000,0.0000002,1.000000,-2.000000
4.100000,0.0000002,1.000000,-2.000000
4.150000,0.0000002,1.000000,-2.000000
4.200000,0.0000002,1.000000,-2.000000
4.250000,0.0000002,1.000000,-2.000000
4.300000,0.0000002,1.000000,-2.000000
4.350000,0.0000002,1.000000,-2.000000
4.400000,0.0000002,1.000000,-2.000000
4.450000,0.0000002,1.000000,-2.000000
4.500000,0.0000002,1.000000,-2.000000
4.550000,0.0000002,1.000000,-2.000000
4.600000,0.0000002,1.000000,-2.000000
4.650000,0.0000002,1.000000,-2.000000
4.700000,0.0000002,1.000000,-2.000000
4.750000,0.0000002,1.000000,-2.000000
4.800000,0.0000002,1.000000,-2.000000
4.850000,0.0000002,1.000000,-2.000000
4.900000,0.0000002,1.000000,-2.000000
4.950000,0.0000002,1.000000,-2.000000
5.000000,0.0000002,1.000000,-2.000000
5.050000,0.0000002,1.000000,-2.000000
5.100000,0.0000002,1.000000,-2.000000
5.150000,0.0000002,1.000000,-2.000000
5.200000,0.0000002,1.000000,-2.000000
5.250000,0.0000002,1.000000,-2.000000
5.300000,0.0000002,1.000000,-2.000000
5.350000,0.0000002,1.000000,-2.000000
5.400000,0.0000002,1.000000,-2.000000
5.450000,0.0000002,1.000000,-2.000000
5.500000,0.0000002,1.000000,-2.000000
5.550000,0.0000002,1.000000,-2.000000
5.600000,0.0000002,1.000000,-2.000000
5.650000,0.0000002,1.000000,-2.000000
5.700000,0.0000002,1.000000,-2.000000
5.750000,0.0000002,1.000000,-2.000000
5.800000,0.0000002,1.000000,-2.000000
5.850000,0.0000002,1.000000,-2.000000
5.900000,0.0000002,1.000000,-2.000000
5.950000,0.0000002,1.000000,-2.000000
6.000000,0.0000002,1.000000,-2.000000
6.050000,0.0000002,1.000000,-2.000000
6.100000,0.0000002,1.000000,-2.000000
6.150000,0.0000002,1.000000,-2.000000
6.200000,0.0000002,1.000000,-2.000000
6.250000,0.0000002,1.000000,-2.000000
6.300000,0.0000002,1.000000,-2.000000
6.350000,0.0000002,1.000000,-2.000000
6.400000,0.0000002,1.000000,-2.000000
6.450000,0.0000002,1.000000,-2.000000
6.500000,0.0000002,1.000000,-2.000000
6.550000,0.0000002,1.000000,-2.000000
6.600000,0.0000002,1.000000,-2.000000
6.650000,0.0000002,1.000000,-2.000000
6.700000,0.0000002,1.000000,-2.000000
6.750000,0.0000002,1.000000,-2.000000
6.800000,0.0000002,1.000000,-2.000000
6.850000,0.0000002,1.000000,-2.000000
6.900000,0.0000002,1.000000,-2.000000
6.950000,0.0000002,1.000000,-2.000000
7.000000,0.0000002,1.000000,-2.000000
7.050000,0.0000002,1.000000,-2.000000
7.100000,0.0000002,1.000000,-2.000000
7.150000,0.0000002,1.000000,-2.000000
7.200000,0.0000002,1.000000,-2.000000
7.250000,0.0000002,1.000000,-2.000000
7.300000,0.0000002,1.000000,-2.000000
7.350000,0.0000002,1.000000,-2.000000
7.400000,0.0000002,1.000000,-2.000000
7.450000,0.0000002,1.000000,-2.000000
7.500000,0.0000002,1.000000,-2.000000
7.550000,0.0000002,1.000000,-2.000000
7.600000,0.0000002,1.000000,-2.000000
7.650000,0.0000002,1.000000,-2.000000
7.700000,0.0000002,1.000000,-2.000000
7.750000,0.0000002,1.000000,-2.000000
7.800000,0.0000002,1.000000,-2.000000
7.850000,0.0000002,1.000000,-2.000000
7.900000,0.0000002,1.000000,-2.000000
7.950000,0.0000002,1.000000,-2.000000
8.000000,0.0000002,1.000000,-2.000000
8.050000,0.0000002,1.000000,-2.000000
8.100000,0.0000002,1.000000,-2.000000
8.150001,0.0000002,1.000000,-2.000000
8.200000,0.0000002,1.000000,-2.000000
8.250000,0.0000002,1.000000,-2.000000
8.300000,0.0000002,1.000000,-2.000000
8.350000,0.0000002,1.000000,-2.000000
8.400001,0.0000002,1.000000,-2.000000
8.450000,0.0000002,1.000000,-2.000000
8.500000,0.0000002,1.000000,-2.000000
8.550000,0.0000002,1.000000,-2.000000
8.600000,0.0000002,1.000000,-2.000000
8.650001,0.0000002,1.000000,-2.000000
8.700000,0.0000002,1.000000,-2.000000
8.750000,0.0000002,1.000000,-2.000000
8.800000,0.0000002,1.000000,-2.000000
8.850000,0.0000002,1.000000,-2.000000
8.900001,0.0000002,1.000000,-2.000000
8.950000,0.0000002,1.000000,-2.000000
9.000000,0.0000002,1.000000,-2.000000
9.050000,0.0000002,1.000000,-2.000000
9.100000,0.0000002,1.000000,-2.000000
9.150001,0.0000002,1.000000,-2.000000
9.200000,0.0000002,1.000000,-2.000000
9.250000,0.0000002,1.000000,-2.000000
9.300000,0.0000002,1.000000,-2.000000
9.350000,0.0000002,1.000000,-2.000000
9.400001,0.0000002,1.000000,-2.000000
9.450000,0.0000002,1.000000,-2.000000
9.500000,0.0000002,1.000000,-2.000000
9.550000,0.0000002,1.000000,-2.000000
9.600000,0.0000002,1.000000,-2.000000
9.650001,0.0000002,1.000000,-2.000000
9.700000,0.0000002,1.000000,-2.000000
9.750000,0.0000002,1.000000,-2.000000
9.800000,0.0000002,1.000000,-2.000000
9.850000,0.0000002,1.000000,-2.000000
9.900001,0.0000002,1.000000,-2.000000
9.950000,0.0000002,1.000000,-2.000000
10.000000,0.0000002,1.000000,-2.000000
10.050000,0.0000002,1.000000,-2.000000
10.100000,0.0000002,1.000000,-2.000000
10.150001,0.0000002,1.000000,-2.000000
10.200000,0.0000002,1.000000,-2.000000
10.250000,0.0000002,1.000000,-2.000000
10.300000,0.0000002,1.000000,-2.000000
10.350000,0.0000002,1.000000,-2.000000
10.400001,0.0000002,1.000000,-2.000000
10.450000,0.0000002,1.000000,-2.000000
10.500000,0.0000002,1.000000,-2.000000
10.550000,0.0000002,1.000000,-2.000000
10.600000,0.0000002,1.000000,-2.000000
10.650001,0.0000002,1.000000,-2.000000
10.700000,0.0000002,1.000000,-2.000000
10.750000,0.0000002,1.000000,-2.000000
10.800000,0.0000002,1.000000,-2.000000
10.850000,0.0000002,1.000000,-2.000000
10.900001,0.0000002,1.000000,-2.000000
10.950000,0.0000002,1.000000,-2.000000
11.000000,0.0000002,1.000000,-2.000000
11.050000,0.0000002,1.000000,-2.000000
11.100000,0.0000002,1.000000,-2.000000
11.150001,0.0000002,1.000000,-2.000000
11.200000,0.0000002,1.000000,-2.000000
11.250000,0.0000002,1.000000,-2.000000
11.300000,0.0000002,1.000000,-2.000000
11.350000,0.0000002,1.000000,-2.000000
11.400001,0.0000002,1.000000,-2.000000
11.450000,0.0000002,1.000000,-2.000000
11.500000,0.0000002,1.000000,-2.000000
11.550000,0.0000002,1.000000,-2.000000
11.600000,0.0000002,1.000000,-2.000000
11.650001,0.0000002,1.000000,-2.000000
11.700000,0.0000002,1.000000,-2.000000
11.750000,0.0000002,1.000000,-2.000000
11.800000,0.0000002,1.000000,-2.000000
11.850000,0.0000002,1.000000,-2.000000
11.900001,0.0000002,1.000000,-2.000000
11.950000,0.0000002,1.000000,-2.000000
12.000000,0.0000002,1.000000,-2.000000
12.050000,0.0000002,1.000000,-2.000000
12.100000,0.0000002,1.000000,-2.000000
12.150001,0.0000002,1.000000,-2.000000
12.200000,0.0000002,1.000000,-2.000000
12.250000,0.0000002,1.000000,-2.000000
12.300000,0.0000002,1.000000,-2.000000
12.350000,0.0000002,1.000000,-2.000000
12.400001,0.0000002,1.000000,-2.000000
12.450000,0.0000002,1.000000,-2.000000
12.500000,0.0000002,1.000000,-2.000000
12.550000,0.0000002,1.000000,-2.000000
12.600000,0.0000002,1.000000,-2.000000
12.650001,0.0000002,1.000000,-2.000000
12.700000,0.0000002,1.000000,-2.000000
12.750000,0.0000002,1.000000,-2.000000
12.800000,0.0000002,1.000000,-2.000000
12.850000,0.0000002,1.000000,-2.000000
12.900001,0.0000002,1.000000,-2.000000
12.950000,0.0000002,1.000000,-2.000000
13.000000,0.0000002,1.000000,-2.000000
13.050000,0.0000002,1.000000,-2.000000
13.100000,0.0000002,1.000000,-2.000000
13.150001,0.0000002,1.000000,-2.000000
13.200000,0.0000002,1.000000,-2.000000
13.250000,0.0000002,1.000000,-2.000000
13.300000,0.0000002,1.000000,-2.000000
13.350000,0.0000002,1.000000,-2.000000
13.400001,0.0000002,1.000000,-2.000000
13.450000,0.0000002,1.000000,-2.000000
13.500000,0.0000002,1.000000,-2.000000
13.550000,0.0000002,1.000000,-2.000000
13.600000,0.0000002,1.000000,-2.000000
13.650001,0.0000002,1.000000,-2.000000
13.700000,0.0000002,1.000000,-2.000000
13.750000,0.0000002,1.000000,-2.000000
13.800000,0.0000002,1.000000,-2.000000
13.850000,0.0000002,1.000000,-2.000000
13.900001,0.0000002,1.000000,-2.000000
13.950000,0.0000002,1.000000,-2.000000
14.000000,0.0000002,1.000000,-2.000000
14.050000,0.0000002,1.000000,-2.000000
14.100000,0.0000002,1.000000,-2.000000
14.150001,0.0000002,1.000000,-2.000000
14.200000,0.0000002,1.000000,-2.000000
14.250000,0.0000002,1.000000,-2.000000
14.300000,0.0000002,1.000000,-2.000000
14.350000,0.0000002,1.000000,-2.000000
14.400001,0.0000002,1.000000,-2.000000
14.450000,0.0000002,1.000000,-2.000000
14.500000,0.0000002,1.000000,-2.000000
14.550000,0.0000002,1.000000,-2.000000
14.600000,0.0000002,1.000000,-2.000000
14.650001,0.0000002,1.000000,-2.000000
14.700000,0.0000002,1.000000,-2.000000
14.750000,0.0000002,1.000000,-2.000000
14.800000,0.0000002,1.000000,-2.000000
14.850000,0.0000002,1.000000,-2.000000
14.900001,0.0000002,1.000000,-2.000000
14.950000,0.0000002,1.000000,-2.000000
15.000000,0.0000002,1.000000,-2.000000
15.050000,0.0000002,1.000000,-2.000000
15.100000,0.0000002,1.000000,-2.000000
15.150001,0.0000002,1.000000,-2.000000
15.200000,0.0000002,1.000000,-2.000000
15.250000,0.0000002,1.000000,-2.000000
15.300000,0.0000002,1.000000,-2.000000
15.350000,0.0000002,1.000000,-2.000000
15.400001,0.0000002,1.000000,-2.000000
15.450000,0.0000002,1.000000,-2.000000
15.500000,0.0000002,1.000000,-2.000000
15.550000,0.0000002,1.000000,-2.000000
15.600000,0.0000002,1.000000,-2.000000
15.650001,0.0000002,1.000000,-2.000000
15.700000,0.0000002,1.000000,-2.000000
15.750000,0.0000002,1.000000,-2.000000
15.800000,0.0000002,1.000000,-2.000000
15.850000,0.0000002,1.000000,-2.000000
15.900001,0.0000002,1.000000,-2.000000
15.950000,0.0000002,1.000000,-2.000000
16.000000,0.0000002,1.000000,-2.000000
16.049999,0.0000002,1.000000,-2.000000
16.099998,0.0000002,1.000000,-2.000000
16.150000,0.0000002,1.000000,-2.000000
16.199999,0.0000002,1.000000,-2.000000
16.250000,0.0000002,1.000000,-2.000000
16.299999,0.0000002,1.000000,-2.000000
16.349998,0.0000002,1.000000,-2.000000
16.400000,0.0000002,1.000000,-2.000000
16.449999,0.0000002,1.000000,-2.000000
16.500000,0.0000002,1.000000,-2.000000
16.549999,0.0000002,1.000000,-2.000000
16.599998,0.0000002,1.000000,-2.000000
16.650000,0.0000002,1.000000,-2.000000
16.699999,0.0000002,1.000000,-2.000000
16.750000,0.0000002,1.000000,-2.000000
16.799999,0.0000002,1.000000,-2.000000
16.849998,0.0000002,1.000000,-2.000000
16.900000,0.0000002,1.000000,-2.000000
16.949999,0.0000002,1.000000,-2.000000
17.000000,0.0000002,1.000000,-2.000000
17.049999,0.0000002,1.000000,-2.000000
17.099998,0.0000002,1.000000,-2.000000
17.150000,0.0000002,1.000000,-2.000000
17.199999,0.0000002,1.000000,-2.000000
17.250000,0.0000002,1.000000,-2.000000
17.299999,0.0000002,1.000000,-2.000000
17.349998,0.0000002,1.000000,-2.000000
17.400000,0.0000002,1.000000,-2.000000
17.449999,0.0000002,1.000000,-2.000000
17.500000,0.0000002,1.000000,-2.000000
17.549999,0.0000002,1.000000,-2.000000
17.599998,0.0000002,1.000000,-2.000000
17.650000,0.0000002,1.000000,-2.000000
17.699999,0.0000002,1.000000,-2.000000
17.750000,0.0000002,1.000000,-2.000000
17.799999,0.0000002,1.000000,-2.000000
17.849998,0.0000002,1.000000,-2.000000
17.900000,0.0000002,1.000000,-2.000000
17.949999,0.0000002,1.000000,-2.000000
18.000000,0.0000002,1.000000,-2.000000
18.049999,0.0000002,1.000000,-2.000000
18.099998,0.0000002,1.000000,-2.000000
18.150000,0.0000002,1.000000,-2.000000
18.199999,0.0000002,1.000000,-2.000000
18.250000,0.0000002,1.000000,-2.000000
18.299999,0.0000002,1.000000,-2.000000
18.349998,0.0000002,1.000000,-2.000000
18.400000,0.0000002,1.000000,-2.000000
18.449999,0.0000002,1.000000,-2.000000
18.500000,0.0000002,1.000000,-2.000000
18.549999,0.0000002,1.000000,-2.000000
18.599998,0.0000002,1.000000,-2.000000
18.650000,0.0000002,1.000000,-2.000000
18.699999,0.0000002,1.000000,-2.000000
18.750000,0.0000002,1.000000,-2.000000
18.799999,0.0000002,1.000000,-2.000000
18.849998,0.0000002,1.000000,-2.000000
18.900000,0.0000002,1.000000,-2.000000
18.949999,0.0000002,1.000000,-2.000000
19.000000,0.0000002,1.000000,-2.000000
19.049999,0.0000002,1.000000,-2.000000
19.099998,0.0000002,1.000000,-2.000000
19.150000,0.0000002,1.000000,-2.000000
19.199999,0.0000002,1.000000,-2.000000
19.250000,0.0000002,1.000000,-2.000000
19.299999,0.0000002,1.000000,-2.000000
19.349998,0.0000002,1.000000,-2.000000
19.400000,0.0000002,1.000000,-2.000000
19.449999,0.0000002,1.000000,-2.000000
19.500000,0.0000002,1.000000,-2.000000
19.549999,0.0000002,1.000000,-2.000000
19.599998,0.0000002,1.000000,-2.000000
19.650000,0.0000002,1.000000,-2.000000
19.699999,0.0000002,1.000000,-2.000000
19.750000,0.0000002,1.000000,-2.000000
19.799999,0.0000002,1.000000,-2.000000
19.849998,0.0000002,1.000000,-2.000000
19.900000,0.0000002,1.000000,-2.000000
19.949999,0.0000002,1.000000,-2.000000
20.000000,0.0000002,1.000000,-2.000000
20.049999,0.0000002,1.000000,-2.000000
20.099998,0.0000002,1.000000,-2.000000
20.150000,0.0000002,1.000000,-2.000000
20.199999,0.0000002,1.000000,-2.000000
20.250000,0.0000002,1.000000,-2.000000
20.299999,0.0000002,1.000000,-2.000000
20.349998,0.0000002,1.000000,-2.000000
20.400000,0.0000002,1.000000,-2.000000
20.449999,0.0000002,1.000000,-2.000000
20.500000,0.0000002,1.000000,-2.000000
20.549999,0.0000002,1.000000,-2.000000
20.599998,0.0000002,1.000000,-2.000000
20.650000,0.0000002,1.000000,-2.000000
20.699999,0.0000002,1.000000,-2.000000
20.750000,0.0000002,1.000000,-2.000000
20.799999,0.0000002,1.000000,-2.000000
20.849998,0.0000002,1.000000,-2.000000
20.900000,0.0000002,1.000000,-2.000000
20.949999,0.0000002,1.000000,-2.000000
21.000000,0.0000002,1.000000,-2.000000
21.049999,0.0000002,1.000000,-2.000000
21.099998,0.0000002,1.000000,-2.000000
21.150000,0.0000002,1.000000,-2.000000
21.199999,0.0000002,1.000000,-2.000000
21.250000,0.0000002,1.000000,-2.000000
21.299999,0.0000002,1.000000,-2.000000
21.349998,0.0000002,1.000000,-2.000000
21.400000,0.0000002,1.000000,-2.000000
21.449999,0.0000002,1.000000,-2.000000
21.500000,0.0000002,1.000000,-2.000000
21.549999,0.0000002,1.000000,-2.000000
21.599998,0.0000002,1.000000,-2.000000
21.650000,0.0000002,1.000000,-2.000000
21.699999,0.0000002,1.000000,-2.000000
21.750000,0.0000002,1.000000,-2.000000
21.799999,0.0000002,1.000000,-2.000000
21.849998,0.0000002,1.000000,-2.000000
21.900000,0.0000002,1.000000,-2.000000
21.949999,0.0000002,1.000000,-2.000000
22.000000,0.0000002,1.000000,-2.000000
22.049999,0.0000002,1.000000,-2.000000
22.099998,0.0000002,1.000000,-2.000000
22.150000,0.0000002,1.000000,-2.000000
22.199999,0.0000002,1.000000,-2.000000
22.250000,0.0000002,1.000000,-2.000000
22.299999,0.0000002,1.000000,-2.000000
22.349998,0.0000002,1.000000,-2.000000
22.400000,0.0000002,1.000000,-2.000000
22.449999,0.0000002,1.000000,-2.000000
22.500000,0.0000002,1.000000,-2.000000
22.549999,0.0000002,1.000000,-2.000000
22.599998,0.0000002,1.000000,-2.000000
22.650000,0.0000002,1.000000,-2.000000
22.699999,0.0000002,1.000000,-2.000000
22.750000,0.0000002,1.000000,-2.000000
22.799999,0.0000002,1.000000,-2.000000
22.849998,0.0000002,1.000000,-2.000000
22.900000,0.0000002,1.000000,-2.000000
22.949999,0.0000002,1.000000,-2.000000
23.000000,0.0000002,1.000000,-2.000000
23.049999,0.0000002,1.000000,-2.000000
23.099998,0.0000002,1.000000,-2.000000
23.150000,0.0000002,1.000000,-2.000000
23.199999,0.0000002,1.000000,-2.000000
23.250000,0.0000002,1.000000,-2.000000
23.299999,0.0000002,1.000000,-2.000000
23.349998,0.0000002,1.000000,-2.000000
23.400000,0.0000002,1.000000,-2.000000
23.449999,0.0000002,1.000000,-2.000000
23.500000,0.0000002,1.000000,-2.000000
23.549999,0.0000002,1.000000,-2.000000
23.599998,0.0000002,1.000000,-2.000000
23.650000,0.0000002,1.000000,-2.000000
23.699999,0.0000002,1.000000,-2.000000
23.750000,0.0000002,1.000000,-2.000000
23.799999,0.0000002,1.000000,-2.000000
23.849998,0.0000002,1.000000,-2.000000
23.900000,0.0000002,1.000000,-2.000000
23.949999,0.0000002,1.000000,-2.000000
24.000000,0.0000002,1.000000,-2.000000
24.049999,0.0000002,1.000000,-2.000000
24.099998,0.0000002,1.000000,-2.000000
24.150000,0.0000002,1.000000,-2.000000
24.199999,0.0000002,1.000000,-2.000000
24.250000,0.0000002,1.000000,-2.000000
24.299999,0.0000002,1.000000,-2.000000
24.349998,0.0000002,1.000000,-2.000000
24.400000,0.0000002,1.000000,-2.000000
24.449999,0.0000002,1.000000,-2.000000
24.500000,0.0000002,1.000000,-2.000000
24.549999,0.0000002,1.000000,-2.000000
24.599998,0.0000002,1.000000,-2.000000
24.650000,0.0000002,1.000000,-2.000000
24.699999,0.0000002,1.000000,-2.000000
24.750000,0.0000002,1.000000,-2.000000
24.799999,0.0000002,1.000000,-2.000000
24.849998,0.0000002,1.000000,-2.000000
24.900000,0.0000002,1.000000,-2.000000
24.949999,0.0000002,1.000000,-2.000000
25.000000,0.0000002,1.000000,-2.000000
25.049999,0.0000002,1.000000,-2.000000
25.099998,0.0000002,1.000000,-2.000000
25.150000,0.0000002,1.000000,-2.000000
25.199999,0.0000002,1.000000,-2.000000
25.250000,0.0000002,1.000000,-2.000000
25.299999,0.0000002,1.000000,-2.000000
25.349998,0.0000002,1.000000,-2.000000
25.400000,0.0000002,1.000000,-2.000000
25.449999,0.0000002,1.000000,-2.000000
25.500000,0.0000002,1.000000,-2.000000
25.549999,0.0000002,1.000000,-2.000000
25.599998,0.0000002,1.000000,-2.000000
25.650000,0.0000002,1.000000,-2.000000
25.699999,0.0000002,1.000000,-2.000000
25.750000,0.0000002,1.000000,-2.000000
25.799999,0.0000002,1.000000,-2.000000
25.849998,0.0000002,1.000000,-2.000000
25.900000,0.0000002,1.000000,-2.000000
25.949999,0.0000002,1.000000,-2.000000
26.000000,0.0000002,1.000000,-2.000000
26.049999,0.0000002,1.000000,-2.000000
26.099998,0.0000002,1.000000,-2.000000
26.150000,0.0000002,1.000000,-2.000000
26.199999,0.0000002,1.000000,-2.000000
26.250000,0.0000002,1.000000,-2.000000
26.299999,0.0000002,1.000000,-2.000000
26.349998,0.0000002,1.000000,-2.000000
26.400000,0.0000002,1.000000,-2.000000
26.449999,0.0000002,1.000000,-2.000000
26.500000,0.0000002,1.000000,-2.000000
26.549999,0.0000002,1.000000,-2.000000
26.599998,0.0000002,1.000000,-2.000000
26.650000,0.0000002,1.000000,-2.000000
26.699999,0.0000002,1.000000,-2.000000
26.750000,0.0000002,1.000000,-2.000000
26.799999,0.0000002,1.000000,-2.000000
26.849998,0.0000002,1.000000,-2.000000
26.900000,0.0000002,1.000000,-2.000000
26.949999,0.0000002,1.000000,-2.000000
27.000000,0.0000002,1.000000,-2.000000
27.049999,0.0000002,1.000000,-2.000000
27.099998,0.0000002,1.000000,-2.000000
27.150000,0.0000002,1.000000,-2.000000
27.199999,0.0000002,1.000000,-2.000000
27.250000,0.0000002,1.000000,-2.000000
27.299999,0.0000002,1.000000,-2.000000
27.349998,0.0000002,1.000000,-2.000000
27.400000,0.0000002,1.000000,-2.000000
27.449999,0.0000002,1.000000,-2.000000
27.500000,0.0000002,1.000000,-2.000000
27.549999,0.0000002,1.000000,-2.000000
27.599998,0.0000002,1.000000,-2.000000
27.650000,0.0000002,1.000000,-2.000000
27.699999,0.0000002,1.000000,-2.000000
27.750000,0.0000002,1.000000,-2.000000
27.799999,0.0000002,1.000000,-2.000000
27.849998,0.0000002,1.000000,-2.000000
27.900000,0.0000002,1.000000,-2.000000
27.949999,0.0000002,1.000000,-2.000000
28.000000,0.0000002,1.000000,-2.000000
28.049999,0.0000002,1.000000,-2.000000
28.099998,0.0000002,1.000000,-2.000000
28.150000,0.0000002,1.000000,-2.000000
28.199999,0.0000002,1.000000,-2.000000
28.250000,0.0000002,1.000000,-2.000000
28.299999,0.0000002,1.000000,-2.000000
28.349998,0.0000002,1.000000,-2.000000
28.400000,0.0000002,1.000000,-2.000000
28.449999,0.0000002,1.000000,-2.000000
28.500000,0.0000002,1.000000,-2.000000
28.549999,0.0000002,1.000000,-2.000000
28.599998,0.0000002,1.000000,-2.000000
28.650000,0.0000002,1.000000,-2.000000
28.699999,0.0000002,1.000000,-2.000000
28.750000,0.0000002,1.000000,-2.000000
28.799999,0.0000002,1.000000,-2.000000
28.849998,0.0000002,1.000000,-2.000000
28.900000,0.0000002,1.000000,-2.000000
28.949999,0.0000002,1.000000,-2.000000
29.000000,0.0000002,1.000000,-2.000000
29.049999,0.0000002,1.000000,-2.000000
29.099998,0.0000002,1.000000,-2.000000
29.150000,0.0000002,1.000000,-2.000000
29.199999,0.0000002,1.000000,-2.000000
29.250000,0.0000002,1.000000,-2.000000
29.299999,0.0000002,1.000000,-2.000000
29.349998,0.0000002,1.000000,-2.000000
29.400000,0.0000002,1.000000,-2.000000
29.449999,0.0000002,1.000000,-2.000000
29.500000,0.0000002,1.000000,-2.000000
29.549999,0.0000002,1.000000,-2.000000
29.599998,0.0000002,1.000000,-2.000000
29.650000,0.0000002,1.000000,-2.000000
29.699999,0.0000002,1.000000,-2.000000
29.750000,0.0000002,1.000000,-2.000000
29.799999,0.0000002,1.000000,-2.000000
29.849998,0.0000002,1.000000,-2.000000
29.900000,0.0000002,1.000000,-2.000000
29.949999,0.0000002,1.000000,-2.000000
30.000000,0.0000002,1.000000,-2.000000
30.049999,0.0000002,1.000000,-2.000000
30.099998,0.0000002,1.000000,-2.000000
30.150000,0.0000002,1.000000,-2.000000
30.199999,0.0000002,1.000000,-2.000000
30.250000,0.0000002,1.000000,-2.000000
30.299999,0.0000002,1.000000,-2.000000
30.349998,0.0000002,1.000000,-2.000000
30.400000,0.0000002,1.000000,-2.000000
30.449999,0.0000002,1.000000,-2.000000
30.500000,0.0000002,1.000000,-2.000000
30.549999,0.0000002,1.000000,-2.000000
30.599998,0.0000002,1.000000,-2.000000
30.650000,0.0000002,1.000000,-2.000000
30.699999,0.0000002,1.000000,-2.000000
30.750000,0.0000002,1.000000,-2.000000
30.799999,0.0000002,1.000000,-2.000000
30.849998,0.0000002,1.000000,-2.000000
30.900000,0.0000002,1.000000,-2.000000
30.949999,0.022653,1.000000,-1.576553
31.000000,0.069683,1.000000,-1.517270
31.049999,0.115263,1.000000,-1.512506
31.099998,0.155546,1.000000,-1.521166
31.150000,0.197524,1.000000,-1.526581
31.199999,0.233346,1.000000,-1.542902
31.250000,0.267694,1.000000,-1.562041
31.299999,0.300438,1.000000,-1.583835
31.349998,0.331403,1.000000,-1.608138
31.400000,0.360411,1.000000,-1.634791
31.449999,0.387290,1.000000,-1.663628
31.500000,0.411873,1.000000,-1.694470
31.549999,0.434012,1.000000,-1.727129
31.599998,0.453566,1.000000,-1.761407
31.650000,0.470413,1.000000,-1.797095
